Regiao;Estado
Norte;Roraima
Norte;Tocantins
Norte;Acre
Norte;Amazonas
Norte;Amapá
Norte;Pará
Norte;Rondônia
Centro-Oeste;Goiás
Centro-Oeste;Distrito Federal
Centro-Oeste;Mato Grosso
Centro-Oeste;Mato Grosso do Sul
Nordeste;Sergipe
Nordeste;Alagoas
Nordeste;Bahia
Nordeste;Ceará
Nordeste;Maranhão
Nordeste;Piauí
Nordeste;Pernambuco
Nordeste;Paraíba
Nordeste;Rio Grande do Norte
Sul;Santa Catarina
Sul;Paraná
Sul;Rio Grande do Sul
Sudeste;São Paulo
Sudeste;Espírito Santo
Sudeste;Minas Gerais
Sudeste;Rio de Janeiro